DateRep,day,month,year,Cases,Deaths,Countries.and.territories,geoId,countryterritoryCode,popData2018,t
22/01/2020,1,22,2020,0,0,California,CA,CA,39557045,2020.060
23/01/2020,1,23,2020,0,0,California,CA,CA,39557045,2020.063
24/01/2020,1,24,2020,0,0,California,CA,CA,39557045,2020.065
25/01/2020,1,25,2020,0,0,California,CA,CA,39557045,2020.068
26/01/2020,1,26,2020,2,0,California,CA,CA,39557045,2020.071
27/01/2020,1,27,2020,0,0,California,CA,CA,39557045,2020.073
28/01/2020,1,28,2020,0,0,California,CA,CA,39557045,2020.076
29/01/2020,1,29,2020,0,0,California,CA,CA,39557045,2020.079
30/01/2020,1,30,2020,0,0,California,CA,CA,39557045,2020.082
31/01/2020,1,31,2020,1,0,California,CA,CA,39557045,2020.084
01/02/2020,2,1,2020,0,0,California,CA,CA,39557045,2020.087
02/02/2020,2,2,2020,0,0,California,CA,CA,39557045,2020.090
03/02/2020,2,3,2020,3,0,California,CA,CA,39557045,2020.093
04/02/2020,2,4,2020,0,0,California,CA,CA,39557045,2020.095
05/02/2020,2,5,2020,0,0,California,CA,CA,39557045,2020.098
06/02/2020,2,6,2020,0,0,California,CA,CA,39557045,2020.101
07/02/2020,2,7,2020,0,0,California,CA,CA,39557045,2020.104
08/02/2020,2,8,2020,0,0,California,CA,CA,39557045,2020.106
09/02/2020,2,9,2020,0,0,California,CA,CA,39557045,2020.109
10/02/2020,2,10,2020,0,0,California,CA,CA,39557045,2020.112
11/02/2020,2,11,2020,1,0,California,CA,CA,39557045,2020.115
12/02/2020,2,12,2020,0,0,California,CA,CA,39557045,2020.117
13/02/2020,2,13,2020,1,0,California,CA,CA,39557045,2020.120
14/02/2020,2,14,2020,0,0,California,CA,CA,39557045,2020.123
15/02/2020,2,15,2020,0,0,California,CA,CA,39557045,2020.126
16/02/2020,2,16,2020,0,0,California,CA,CA,39557045,2020.128
17/02/2020,2,17,2020,0,0,California,CA,CA,39557045,2020.131
18/02/2020,2,18,2020,0,0,California,CA,CA,39557045,2020.134
19/02/2020,2,19,2020,0,0,California,CA,CA,39557045,2020.136
20/02/2020,2,20,2020,0,0,California,CA,CA,39557045,2020.139
21/02/2020,2,21,2020,2,0,California,CA,CA,39557045,2020.142
22/02/2020,2,22,2020,0,0,California,CA,CA,39557045,2020.145
23/02/2020,2,23,2020,0,0,California,CA,CA,39557045,2020.147
24/02/2020,2,24,2020,0,0,California,CA,CA,39557045,2020.150
25/02/2020,2,25,2020,0,0,California,CA,CA,39557045,2020.153
26/02/2020,2,26,2020,0,0,California,CA,CA,39557045,2020.156
27/02/2020,2,27,2020,1,0,California,CA,CA,39557045,2020.158
28/02/2020,2,28,2020,0,0,California,CA,CA,39557045,2020.161
29/02/2020,2,29,2020,1,0,California,CA,CA,39557045,2020.164
01/03/2020,3,1,2020,0,0,California,CA,CA,39557045,2020.167
02/03/2020,3,2,2020,9,0,California,CA,CA,39557045,2020.169
03/03/2020,3,3,2020,4,0,California,CA,CA,39557045,2020.172
04/03/2020,3,4,2020,10,1,California,CA,CA,39557045,2020.175
05/03/2020,3,5,2020,16,0,California,CA,CA,39557045,2020.178
06/03/2020,3,6,2020,8,0,California,CA,CA,39557045,2020.180
07/03/2020,3,7,2020,22,0,California,CA,CA,39557045,2020.183
08/03/2020,3,8,2020,14,0,California,CA,CA,39557045,2020.186
09/03/2020,3,9,2020,6,0,California,CA,CA,39557045,2020.189
10/03/2020,3,10,2020,43,1,California,CA,CA,39557045,2020.191
11/03/2020,3,11,2020,34,2,California,CA,CA,39557045,2020.194
12/03/2020,3,12,2020,43,0,California,CA,CA,39557045,2020.197
13/03/2020,3,13,2020,60,0,California,CA,CA,39557045,2020.2
14/03/2020,3,14,2020,91,-1,California,CA,CA,39557045,2020.202
15/03/2020,3,15,2020,1,2,California,CA,CA,39557045,2020.205
16/03/2020,3,16,2020,184,2,California,CA,CA,39557045,2020.208
17/03/2020,3,17,2020,143,5,California,CA,CA,39557045,2020.210
18/03/2020,3,18,2020,128,4,California,CA,CA,39557045,2020.213
19/03/2020,3,19,2020,177,2,California,CA,CA,39557045,2020.216
20/03/2020,3,20,2020,238,6,California,CA,CA,39557045,2020.219
21/03/2020,3,21,2020,162,1,California,CA,CA,39557045,2020.221
22/03/2020,3,22,2020,241,5,California,CA,CA,39557045,2020.224
23/03/2020,3,23,2020,462,9,California,CA,CA,39557045,2020.227
24/03/2020,3,24,2020,430,11,California,CA,CA,39557045,2020.230
25/03/2020,3,25,2020,460,15,California,CA,CA,39557045,2020.232
26/03/2020,3,26,2020,901,16,California,CA,CA,39557045,2020.235
27/03/2020,3,27,2020,758,13,California,CA,CA,39557045,2020.238
28/03/2020,3,28,2020,438,16,California,CA,CA,39557045,2020.241
29/03/2020,3,29,2020,757,14,California,CA,CA,39557045,2020.243
30/03/2020,3,30,2020,1286,22,California,CA,CA,39557045,2020.246
31/03/2020,3,31,2020,1072,27,California,CA,CA,39557045,2020.249
01/04/2020,4,1,2020,1189,26,California,CA,CA,39557045,2020.252
02/04/2020,4,2,2020,1374,39,California,CA,CA,39557045,2020.254
03/04/2020,4,3,2020,1231,27,California,CA,CA,39557045,2020.257
04/04/2020,4,4,2020,833,24,California,CA,CA,39557045,2020.260
05/04/2020,4,5,2020,2197,59,California,CA,CA,39557045,2020.263
06/04/2020,4,6,2020,985,32,California,CA,CA,39557045,2020.265
07/04/2020,4,7,2020,1332,52,California,CA,CA,39557045,2020.268
08/04/2020,4,8,2020,1546,63,California,CA,CA,39557045,2020.271
09/04/2020,4,9,2020,813,49,California,CA,CA,39557045,2020.273
10/04/2020,4,10,2020,1371,39,California,CA,CA,39557045,2020.276
11/04/2020,4,11,2020,625,22,California,CA,CA,39557045,2020.279
12/04/2020,4,12,2020,1089,36,California,CA,CA,39557045,2020.282
13/04/2020,4,13,2020,1136,74,California,CA,CA,39557045,2020.284
21/01/20,1,21,2020,0,0,California,CA,CA,39557045,2020.057
20/01/20,1,20,2020,0,0,California,CA,CA,39557045,2020.054
19/01/20,1,19,2020,0,0,California,CA,CA,39557045,2020.052
18/01/20,1,18,2020,0,0,California,CA,CA,39557045,2020.049
17/01/20,1,17,2020,0,0,California,CA,CA,39557045,2020.046
16/01/20,1,16,2020,0,0,California,CA,CA,39557045,2020.043
15/01/20,1,15,2020,0,0,California,CA,CA,39557045,2020.041
14/01/20,1,14,2020,0,0,California,CA,CA,39557045,2020.038
13/01/20,1,13,2020,0,0,California,CA,CA,39557045,2020.035
12/01/20,1,12,2020,0,0,California,CA,CA,39557045,2020.032
11/01/20,1,11,2020,0,0,California,CA,CA,39557045,2020.030
10/01/20,1,10,2020,0,0,California,CA,CA,39557045,2020.027
09/01/20,1,9,2020,0,0,California,CA,CA,39557045,2020.024
08/01/20,1,8,2020,0,0,California,CA,CA,39557045,2020.021
07/01/20,1,7,2020,0,0,California,CA,CA,39557045,2020.019
06/01/20,1,6,2020,0,0,California,CA,CA,39557045,2020.016
05/01/20,1,5,2020,0,0,California,CA,CA,39557045,2020.013
04/01/20,1,4,2020,0,0,California,CA,CA,39557045,2020.010
03/01/20,1,3,2020,0,0,California,CA,CA,39557045,2020.008
02/01/20,1,2,2020,0,0,California,CA,CA,39557045,2020.005
01/01/20,1,1,2020,0,0,California,CA,CA,39557045,2020.002
31/12/19,12,31,2019,0,0,California,CA,CA,39557045,2019.0
30/12/19,12,30,2019,0,0,California,CA,CA,39557045,2019.997
29/12/19,12,29,2019,0,0,California,CA,CA,39557045,2019.994
28/12/19,12,28,2019,0,0,California,CA,CA,39557045,2019.991
27/12/19,12,27,2019,0,0,California,CA,CA,39557045,2019.989
26/12/19,12,26,2019,0,0,California,CA,CA,39557045,2019.986
25/12/19,12,25,2019,0,0,California,CA,CA,39557045,2019.983
24/12/19,12,24,2019,0,0,California,CA,CA,39557045,2019.980
23/12/19,12,23,2019,0,0,California,CA,CA,39557045,2019.978
22/01/2020,1,22,2020,0,0,Arizona,AZ,AZ,7171646,2020.060
23/01/2020,1,23,2020,0,0,Arizona,AZ,AZ,7171646,2020.063
24/01/2020,1,24,2020,0,0,Arizona,AZ,AZ,7171646,2020.065
25/01/2020,1,25,2020,0,0,Arizona,AZ,AZ,7171646,2020.068
26/01/2020,1,26,2020,1,0,Arizona,AZ,AZ,7171646,2020.071
27/01/2020,1,27,2020,0,0,Arizona,AZ,AZ,7171646,2020.073
28/01/2020,1,28,2020,0,0,Arizona,AZ,AZ,7171646,2020.076
29/01/2020,1,29,2020,0,0,Arizona,AZ,AZ,7171646,2020.079
30/01/2020,1,30,2020,0,0,Arizona,AZ,AZ,7171646,2020.082
31/01/2020,1,31,2020,0,0,Arizona,AZ,AZ,7171646,2020.084
01/02/2020,2,1,2020,0,0,Arizona,AZ,AZ,7171646,2020.087
02/02/2020,2,2,2020,0,0,Arizona,AZ,AZ,7171646,2020.090
03/02/2020,2,3,2020,0,0,Arizona,AZ,AZ,7171646,2020.093
04/02/2020,2,4,2020,0,0,Arizona,AZ,AZ,7171646,2020.095
05/02/2020,2,5,2020,0,0,Arizona,AZ,AZ,7171646,2020.098
06/02/2020,2,6,2020,0,0,Arizona,AZ,AZ,7171646,2020.101
07/02/2020,2,7,2020,0,0,Arizona,AZ,AZ,7171646,2020.104
08/02/2020,2,8,2020,0,0,Arizona,AZ,AZ,7171646,2020.106
09/02/2020,2,9,2020,0,0,Arizona,AZ,AZ,7171646,2020.109
10/02/2020,2,10,2020,0,0,Arizona,AZ,AZ,7171646,2020.112
11/02/2020,2,11,2020,0,0,Arizona,AZ,AZ,7171646,2020.115
12/02/2020,2,12,2020,0,0,Arizona,AZ,AZ,7171646,2020.117
13/02/2020,2,13,2020,0,0,Arizona,AZ,AZ,7171646,2020.120
14/02/2020,2,14,2020,0,0,Arizona,AZ,AZ,7171646,2020.123
15/02/2020,2,15,2020,0,0,Arizona,AZ,AZ,7171646,2020.126
16/02/2020,2,16,2020,0,0,Arizona,AZ,AZ,7171646,2020.128
17/02/2020,2,17,2020,0,0,Arizona,AZ,AZ,7171646,2020.131
18/02/2020,2,18,2020,0,0,Arizona,AZ,AZ,7171646,2020.134
19/02/2020,2,19,2020,0,0,Arizona,AZ,AZ,7171646,2020.136
20/02/2020,2,20,2020,0,0,Arizona,AZ,AZ,7171646,2020.139
21/02/2020,2,21,2020,0,0,Arizona,AZ,AZ,7171646,2020.142
22/02/2020,2,22,2020,0,0,Arizona,AZ,AZ,7171646,2020.145
23/02/2020,2,23,2020,0,0,Arizona,AZ,AZ,7171646,2020.147
24/02/2020,2,24,2020,0,0,Arizona,AZ,AZ,7171646,2020.150
25/02/2020,2,25,2020,0,0,Arizona,AZ,AZ,7171646,2020.153
26/02/2020,2,26,2020,0,0,Arizona,AZ,AZ,7171646,2020.156
27/02/2020,2,27,2020,0,0,Arizona,AZ,AZ,7171646,2020.158
28/02/2020,2,28,2020,0,0,Arizona,AZ,AZ,7171646,2020.161
29/02/2020,2,29,2020,0,0,Arizona,AZ,AZ,7171646,2020.164
01/03/2020,3,1,2020,0,0,Arizona,AZ,AZ,7171646,2020.167
02/03/2020,3,2,2020,0,0,Arizona,AZ,AZ,7171646,2020.169
03/03/2020,3,3,2020,0,0,Arizona,AZ,AZ,7171646,2020.172
04/03/2020,3,4,2020,0,0,Arizona,AZ,AZ,7171646,2020.175
05/03/2020,3,5,2020,0,0,Arizona,AZ,AZ,7171646,2020.178
06/03/2020,3,6,2020,1,0,Arizona,AZ,AZ,7171646,2020.180
07/03/2020,3,7,2020,2,0,Arizona,AZ,AZ,7171646,2020.183
08/03/2020,3,8,2020,0,0,Arizona,AZ,AZ,7171646,2020.186
09/03/2020,3,9,2020,0,0,Arizona,AZ,AZ,7171646,2020.189
10/03/2020,3,10,2020,2,0,Arizona,AZ,AZ,7171646,2020.191
11/03/2020,3,11,2020,3,0,Arizona,AZ,AZ,7171646,2020.194
12/03/2020,3,12,2020,0,0,Arizona,AZ,AZ,7171646,2020.197
13/03/2020,3,13,2020,0,0,Arizona,AZ,AZ,7171646,2020.2
14/03/2020,3,14,2020,3,0,Arizona,AZ,AZ,7171646,2020.202
15/03/2020,3,15,2020,0,0,Arizona,AZ,AZ,7171646,2020.205
16/03/2020,3,16,2020,6,0,Arizona,AZ,AZ,7171646,2020.208
17/03/2020,3,17,2020,2,0,Arizona,AZ,AZ,7171646,2020.210
18/03/2020,3,18,2020,7,0,Arizona,AZ,AZ,7171646,2020.213
19/03/2020,3,19,2020,18,0,Arizona,AZ,AZ,7171646,2020.216
20/03/2020,3,20,2020,23,0,Arizona,AZ,AZ,7171646,2020.219
21/03/2020,3,21,2020,36,1,Arizona,AZ,AZ,7171646,2020.221
22/03/2020,3,22,2020,48,1,Arizona,AZ,AZ,7171646,2020.224
23/03/2020,3,23,2020,83,0,Arizona,AZ,AZ,7171646,2020.227
24/03/2020,3,24,2020,91,3,Arizona,AZ,AZ,7171646,2020.230
25/03/2020,3,25,2020,75,1,Arizona,AZ,AZ,7171646,2020.232
26/03/2020,3,26,2020,107,2,Arizona,AZ,AZ,7171646,2020.235
27/03/2020,3,27,2020,157,5,Arizona,AZ,AZ,7171646,2020.238
28/03/2020,3,28,2020,108,2,Arizona,AZ,AZ,7171646,2020.241
29/03/2020,3,29,2020,146,2,Arizona,AZ,AZ,7171646,2020.243
30/03/2020,3,30,2020,238,3,Arizona,AZ,AZ,7171646,2020.246
31/03/2020,3,31,2020,132,4,Arizona,AZ,AZ,7171646,2020.249
01/04/2020,4,1,2020,241,5,Arizona,AZ,AZ,7171646,2020.252
02/04/2020,4,2,2020,185,3,Arizona,AZ,AZ,7171646,2020.254
03/04/2020,4,3,2020,222,9,Arizona,AZ,AZ,7171646,2020.257
04/04/2020,4,4,2020,250,11,Arizona,AZ,AZ,7171646,2020.260
05/04/2020,4,5,2020,299,12,Arizona,AZ,AZ,7171646,2020.263
06/04/2020,4,6,2020,246,1,Arizona,AZ,AZ,7171646,2020.265
07/04/2020,4,7,2020,138,8,Arizona,AZ,AZ,7171646,2020.268
08/04/2020,4,8,2020,166,7,Arizona,AZ,AZ,7171646,2020.271
09/04/2020,4,9,2020,-18,9,Arizona,AZ,AZ,7171646,2020.273
10/04/2020,4,10,2020,94,8,Arizona,AZ,AZ,7171646,2020.276
11/04/2020,4,11,2020,281,11,Arizona,AZ,AZ,7171646,2020.279
12/04/2020,4,12,2020,149,7,Arizona,AZ,AZ,7171646,2020.282
13/04/2020,4,13,2020,163,7,Arizona,AZ,AZ,7171646,2020.284
21/01/20,1,21,2020,0,0,Arizona,AZ,AZ,7171646,2020.057
20/01/20,1,20,2020,0,0,Arizona,AZ,AZ,7171646,2020.054
19/01/20,1,19,2020,0,0,Arizona,AZ,AZ,7171646,2020.052
18/01/20,1,18,2020,0,0,Arizona,AZ,AZ,7171646,2020.049
17/01/20,1,17,2020,0,0,Arizona,AZ,AZ,7171646,2020.046
16/01/20,1,16,2020,0,0,Arizona,AZ,AZ,7171646,2020.043
15/01/20,1,15,2020,0,0,Arizona,AZ,AZ,7171646,2020.041
14/01/20,1,14,2020,0,0,Arizona,AZ,AZ,7171646,2020.038
13/01/20,1,13,2020,0,0,Arizona,AZ,AZ,7171646,2020.035
12/01/20,1,12,2020,0,0,Arizona,AZ,AZ,7171646,2020.032
11/01/20,1,11,2020,0,0,Arizona,AZ,AZ,7171646,2020.030
10/01/20,1,10,2020,0,0,Arizona,AZ,AZ,7171646,2020.027
09/01/20,1,9,2020,0,0,Arizona,AZ,AZ,7171646,2020.024
08/01/20,1,8,2020,0,0,Arizona,AZ,AZ,7171646,2020.021
07/01/20,1,7,2020,0,0,Arizona,AZ,AZ,7171646,2020.019
06/01/20,1,6,2020,0,0,Arizona,AZ,AZ,7171646,2020.016
05/01/20,1,5,2020,0,0,Arizona,AZ,AZ,7171646,2020.013
04/01/20,1,4,2020,0,0,Arizona,AZ,AZ,7171646,2020.010
03/01/20,1,3,2020,0,0,Arizona,AZ,AZ,7171646,2020.008
02/01/20,1,2,2020,0,0,Arizona,AZ,AZ,7171646,2020.005
01/01/20,1,1,2020,0,0,Arizona,AZ,AZ,7171646,2020.002
31/12/19,12,31,2019,0,0,Arizona,AZ,AZ,7171646,2019.0
30/12/19,12,30,2019,0,0,Arizona,AZ,AZ,7171646,2019.997
29/12/19,12,29,2019,0,0,Arizona,AZ,AZ,7171646,2019.994
28/12/19,12,28,2019,0,0,Arizona,AZ,AZ,7171646,2019.991
27/12/19,12,27,2019,0,0,Arizona,AZ,AZ,7171646,2019.989
26/12/19,12,26,2019,0,0,Arizona,AZ,AZ,7171646,2019.986
25/12/19,12,25,2019,0,0,Arizona,AZ,AZ,7171646,2019.983
24/12/19,12,24,2019,0,0,Arizona,AZ,AZ,7171646,2019.980
23/12/19,12,23,2019,0,0,Arizona,AZ,AZ,7171646,2019.978
22/01/2020,1,22,2020,0,0,Iowa,IA,IA,3156145,2020.060
23/01/2020,1,23,2020,0,0,Iowa,IA,IA,3156145,2020.063
24/01/2020,1,24,2020,0,0,Iowa,IA,IA,3156145,2020.065
25/01/2020,1,25,2020,0,0,Iowa,IA,IA,3156145,2020.068
26/01/2020,1,26,2020,0,0,Iowa,IA,IA,3156145,2020.071
27/01/2020,1,27,2020,0,0,Iowa,IA,IA,3156145,2020.073
28/01/2020,1,28,2020,0,0,Iowa,IA,IA,3156145,2020.076
29/01/2020,1,29,2020,0,0,Iowa,IA,IA,3156145,2020.079
30/01/2020,1,30,2020,0,0,Iowa,IA,IA,3156145,2020.082
31/01/2020,1,31,2020,0,0,Iowa,IA,IA,3156145,2020.084
01/02/2020,2,1,2020,0,0,Iowa,IA,IA,3156145,2020.087
02/02/2020,2,2,2020,0,0,Iowa,IA,IA,3156145,2020.090
03/02/2020,2,3,2020,0,0,Iowa,IA,IA,3156145,2020.093
04/02/2020,2,4,2020,0,0,Iowa,IA,IA,3156145,2020.095
05/02/2020,2,5,2020,0,0,Iowa,IA,IA,3156145,2020.098
06/02/2020,2,6,2020,0,0,Iowa,IA,IA,3156145,2020.101
07/02/2020,2,7,2020,0,0,Iowa,IA,IA,3156145,2020.104
08/02/2020,2,8,2020,0,0,Iowa,IA,IA,3156145,2020.106
09/02/2020,2,9,2020,0,0,Iowa,IA,IA,3156145,2020.109
