,country,popt,ifr
0,California,39557045,0.0109655
1,Arizona,7171646,0.0109655
2,Iowa,3156145,0.0109655
3,Mississippi,2986530,0.0109655
4,Oklahoma,3943079,0.0109655
5,Connecticut,3572665,0.0109655
6,Indiana,6691878,0.0109655
7,Minnesota,5611179,0.0109655
8,North Carolina,10383620,0.0109655
9,Colorado,5695564,0.0109655
10,Alabama,4887871,0.0109655
11,Puerto Rico,3195153,0.0109655
12,Virginia,8517685,0.0109655
13,Massachusetts,6902149,0.0109655
14,South Carolina,5084127,0.0109655
15,Kansas,2911505,0.0109655
16,Wyoming,577737,0.0109655
17,Pennsylvania,12807060,0.0109655
18,Tennessee,6770010,0.0109655
19,District of Columbia,702455,0.0109655
20,New Jersey,8908520,0.0109655
21,Michigan,9995915,0.0109655
22,Kentucky,4468402,0.0109655
23,Louisiana,4659978,0.0109655
24,Idaho,1754208,0.0109655
25,Texas,28701845,0.0109655
26,Montana,1062305,0.0109655
27,Delaware,967171,0.0109655
28,Missouri,6126452,0.0109655
29,Ohio,11689442,0.0109655
30,Illinois,12741080,0.0109655
31,Rhode Island,1057315,0.0109655
32,New Hampshire,1356458,0.0109655
33,Vermont,626299,0.0109655
34,North Dakota,760077,0.0109655
35,Florida,21299325,0.0109655
36,Washington,7535591,0.0109655
37,Alaska,737438,0.0109655
38,South Dakota,882235,0.0109655
39,New York,19542209,0.0109655
40,Oregon,4190713,0.0109655
41,West Virginia,1805832,0.0109655
42,Georgia,10519475,0.0109655
43,Nevada,3034392,0.0109655
44,Maryland,6042718,0.0109655
45,Utah,3161105,0.0109655
46,Wisconsin,5813568,0.0109655
47,Nebraska,1929268,0.0109655
48,Arkansas,3013825,0.0109655
49,New Mexico,2095428,0.0109655
50,Hawaii,1420491,0.0109655
51,Maine,1338404,0.0109655
